"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","4/20","26/9409",0.153846153846154,72.3769230769231,16.8200631076724,2.15393554182534e-07,7.58185310722521e-05,7.58185310722521e-05,"9963/686/8884/10560",4
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","4/20","32/9409",0.125,58.80625,15.117215726584,5.13877551366933e-07,9.04424490405802e-05,9.04424490405802e-05,"32/5095/31/5096",4
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","4/20","48/9409",0.0833333333333333,39.2041666666667,12.2468446741671,2.72059654364135e-06,0.000319216661120585,0.000319216661120586,"56922/5095/5096/64087",4
"Metabolism","Lipid metabolism","hsa00061","Fatty acid biosynthesis","3/20","18/9409",0.166666666666667,78.4083333333333,15.1712732944064,6.56777540098337e-06,0.000577964235286536,0.000577964235286536,"32/31/2194",3
"Environmental Information Processing","Signal transduction","hsa04152","AMPK signaling pathway","4/20","122/9409",0.0327868852459016,15.4245901639344,7.40115769817987,0.000111007270596562,0.00781491184999796,0.00781491184999796,"32/31/2194/6319",4
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","3/20","50/9409",0.06,28.227,8.90889935226659,0.000151055604222144,0.00886192878103243,0.00886192878103244,"5091/32/31",3
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","4/20","144/9409",0.0277777777777778,13.0680555555556,6.73518947243926,0.000210679085160256,0.00982846067402895,0.00982846067402895,"32/31/2194/6319",4
"Metabolism","Global and overview maps","hsa01212","Fatty acid metabolism","3/20","57/9409",0.0526315789473684,24.7605263157895,8.30415062115952,0.000223374106227931,0.00982846067402895,0.00982846067402895,"31/2194/6319",3
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","3/20","107/9409",0.0280373831775701,13.1901869158878,5.85285909461504,0.00141595343854175,0.0553795122629662,0.0553795122629662,"32/6513/31",3
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","3/20","116/9409",0.0258620689655172,12.1668103448276,5.58514109424871,0.00178621444112718,0.0564285579815002,0.0564285579815002,"5091/5095/5096",3
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","2/20","30/9409",0.0666666666666667,31.3633333333333,7.68751169461448,0.0018018844509632,0.0564285579815002,0.0564285579815002,"5091/47",2
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","2/20","31/9409",0.0645161290322581,30.3516129032258,7.55460369237707,0.00192370084027841,0.0564285579815002,0.0564285579815002,"5095/5096",2
"Organismal Systems","Endocrine system","hsa04910","Insulin signaling pathway","3/20","138/9409",0.0217391304347826,10.2271739130435,5.03963335385925,0.00293133398101762,0.0793715047167847,0.0793715047167847,"32/31/2194",3
