name,type,best_affinity
5-Hydroxytryptophan,fda,-7.664
Biotin_Sulfone,substrate,-7.255
Diclofenac,nsaid,-7.15
Homobiotin,substrate,-6.944
Desthiobiotin,substrate,-6.914
L-Tryptophan,fda,-6.876
Biotin_Sulfoxide,substrate,-6.868
Biotin,substrate,-6.762
Flufenamic_Acid,nsaid,-6.741
Norbiotin,substrate,-6.739
L-Phenylalanine,fda,-6.721
Niflumic_Acid,nsaid,-6.72
Aspirin,nsaid,-6.676
Meclofenamic_Acid,nsaid,-6.574
Gemfibrozil,fda,-6.534
Oxaprozin,nsaid,-6.532
Hippuric_Acid,fda,-6.485
Biotin_Methyl_Ester,substrate,-6.426
Azelaic_Acid,fda,-6.394
Sebacic_Acid,fda,-6.334
Levodopa,fda,-6.308
Pantothenic_Acid,substrate,-6.283
L-Tyrosine,fda,-6.23
Fenbufen,nsaid,-6.207
Hydrochlorothiazide,fda,-6.178
Fluoxetine,fda,-6.133
Tolfenamic_Acid,nsaid,-6.127
Phenylacetic_Acid,fda,-6.116
Tranexamic_Acid,fda,-6.113
Nabumetone,nsaid,-6.079
Probenecid,fda,-6.003
Suberic_Acid,fda,-5.948
Captopril,fda,-5.924
Acetaminophen,fda,-5.889
Mefenamic_Acid,nsaid,-5.855
Salicylic_Acid,fda,-5.803
Lisinopril,fda,-5.799
Isoniazid,fda,-5.796
Metronidazole,fda,-5.767
Pimelic_Acid,fda,-5.755
Benzoic_Acid,fda,-5.665
Valproic_Acid,fda,-5.628
Adipic_Acid,fda,-5.553
Ascorbic_Acid,vitamin,-5.523
Tiaprofenic_Acid,nsaid,-5.48
Pyridoxine,vitamin,-5.459
Ketoprofen,nsaid,-5.411
Lipoic_Acid,substrate,-5.391
Metformin,fda,-5.387
Naproxen,nsaid,-5.357
Allopurinol,fda,-5.354
Ciprofibrate,fda,-5.346
Caffeine,fda,-5.34
Ibuprofen,nsaid,-5.308
Glutaric_Acid,fda,-5.307
Nicotinic_Acid,vitamin,-5.174
Enalaprilat,fda,-5.116
Furosemide,fda,-5.097
Acetazolamide,fda,-4.992
Gabapentin_enacarbil,substrate,-4.965
Succinic_Acid,fda,-4.726
Flurbiprofen,nsaid,-4.591
Phenylbutazone,nsaid,-4.274
Sertraline,fda,-4.248
Thiamine,vitamin,-4.02
Omeprazole,fda,-3.187
Piroxicam,nsaid,-2.789
Warfarin,fda,-2.575
Bezafibrate,fda,-1.266
Indomethacin,nsaid,-1.12
Riboflavin,vitamin,-0.01013
Meloxicam,nsaid,0.05911
Montelukast,fda,0.6323
Sulindac,nsaid,0.6643
Ursodeoxycholic_Acid,fda,0.9351
Simvastatin,fda,1.155
Pravastatin,fda,1.174
Folic_Acid,vitamin,3.064
Celecoxib,nsaid,4.869
Retinoic_Acid,vitamin,6.011
Methotrexate,fda,6.317
Cholic_Acid,fda,6.5
Deoxycholic_Acid,fda,7.329
Zafirlukast,fda,15.54
