cancer,n_t,n_n,t_mean,n_mean,log2FC,pval,sig
BLCA,407,19,2.46035114795882,1.8491525323693576,0.611,1.315575597564364e-10,*
BRCA,1092,113,2.5931483681488685,2.5934065880977157,-0.0,0.6294803178976455,
CESC,304,3,2.305892288837594,1.8576840862632356,0.448,0.003987436615456229,*
CHOL,36,9,2.282198851092869,2.0819108707523197,0.2,0.0061774896165105115,*
COAD,288,41,2.6284440697750386,2.164405600108893,0.464,1.151656718422827e-21,*
ESCA,181,13,2.374162891088506,1.849070467652709,0.525,9.366373926612113e-06,*
GBM,153,5,2.2869125111140263,2.237179456048733,0.05,0.3133748181662882,
HNSC,518,44,2.164968053007964,2.006539485212442,0.158,0.00013915411943061368,*
KICH,66,25,1.8151408021374829,1.965473398266796,-0.15,4.396619275348271e-05,*
KIRC,530,72,1.940814733953376,1.9508307269524496,-0.01,0.8530468401232988,
KIRP,288,32,2.1061855870911503,1.9982245204255091,0.108,5.1828908086854667e-05,*
LIHC,369,50,2.450392948177903,2.2200345564782213,0.23,1.2420018811642991e-08,*
LUAD,513,59,2.2081762207345093,1.79905989765075,0.409,4.2370241146330955e-30,*
LUSC,498,50,2.401470470209313,1.8366399093027055,0.565,1.6540605181553437e-29,*
PAAD,178,4,2.071172979782127,2.1297977281006415,-0.059,0.52335085795688,
PCPG,177,3,1.9551655826868108,1.9236307237390806,0.032,0.7543779788547473,
PRAD,495,52,2.128036542561837,1.9938531904240893,0.134,1.4227606879141063e-08,*
READ,92,10,2.6844753384906483,2.10437772133687,0.58,5.045043522171929e-07,*
STAD,414,36,2.373434504792618,1.764791462329905,0.609,1.9342961751548877e-18,*
THCA,504,59,1.770417676121757,1.866038979078284,-0.096,2.0849118101722425e-06,*
UCEC,180,23,2.3662022884123632,1.9177602248123817,0.448,5.221930093207334e-11,*
