cancer,n,ev,med_hi,med_lo,logrank,hr,hr_lo,hr_hi,cox_p
ACC,77,27,53.77,inf,0.0011623609018403243,8.47836833336375,2.6461798651368693,27.164717917792487,0.0003207333172241292
BLCA,405,177,33.47,45.57,0.42754986127201966,1.4968607322499148,0.762478773081859,2.9385631847762976,0.24118669214366434
BRCA,1077,151,130.87,142.23,0.10660337065958495,0.817060215478093,0.4092865274957307,1.6311003438149365,0.5667596644653392
CESC,291,72,136.2,103.23,0.20117478604370564,2.6231495337107376,0.9882096595411334,6.963009731560358,0.05284906643724676
CHOL,36,18,24.7,46.73,0.9699448199469203,4.184726437627164,0.1976681624083292,88.59259449987096,0.35805656014872556
COAD,282,69,82.5,94.03,0.4549091784993561,1.1504308891570936,0.3485656789714438,3.796963701739574,0.8180737956558208
ESCA,181,76,26.7,25.47,0.5560521815890276,1.1586575271947683,0.43214771014825853,3.1065472147579425,0.769787943254564
GBM,152,120,13.8,13.5,0.41928771921707886,1.7374941636354628,0.6108526803126421,4.942085163843749,0.30029388174509364
HNSC,517,220,58.27,54.7,0.7682066951301356,0.9331232488635567,0.5212136820088238,1.6705605160129668,0.81580023922868
KICH,65,9,inf,inf,0.6694867976789172,32.95072977764057,0.5473875733632146,1983.513411179775,0.09457756699923328
KIRC,528,173,71.5,inf,2.699440774115709e-06,9.187927193788102,4.687932663721856,18.007512516472353,1.0464150387576956e-10
KIRP,285,44,98.03,inf,0.024820598444889912,8.606603122249824,1.531842924498973,48.3558830473092,0.014516226441183585
LAML,151,93,17.27,19.23,0.725188567954038,2.7553585380760603,0.6538804171874284,11.610686715477017,0.16725411895980705
LGG,504,122,63.03,99.6,4.946180453150238e-05,17.99983861119267,6.02198321722615,53.801908497882,2.294088579735185e-07
LIHC,363,128,59.7,56.47,0.1796827195500088,1.4087741333272426,0.778340887864024,2.5498397805854967,0.2575698970269439
LUAD,500,182,42.93,54.07,0.15589424188466072,1.9825532030955322,0.9671048014358925,4.064210204797439,0.06167334884956442
LUSC,491,211,61.87,54.67,0.9841804902241603,1.1377096490217657,0.5855690692324532,2.2104706574988136,0.7034118967072498
DLBC,46,9,118.43,214.17,0.38055375076053555,5.043506917160356,0.11765887631083595,216.19246096014018,0.3987270858164771
MESO,85,73,13.53,24.7,0.001069118580300921,7.627067398602875,2.1690730186938767,26.818902176866146,0.001540756877766449
OV,418,261,44.53,45.17,0.8096880873969831,0.895245958862487,0.49561808161167575,1.6171026776371207,0.7137718790795176
PAAD,177,93,22.8,18.93,0.5902666584071223,0.7542816348597979,0.2649632154737896,2.1472444153028096,0.5972944273444125
PCPG,177,6,inf,inf,0.8066701438672006,14.141431497371432,0.16589137841657525,1205.4881133887031,0.24282691992320027
PRAD,495,10,inf,116.73,0.7408088943910172,9.503762154016137,0.1030519773580196,876.4654244946474,0.32932759140735013
READ,91,17,inf,inf,0.3035806755418523,0.15431538736428282,0.006877517261009724,3.462476046754773,0.2390218006542636
SARC,258,98,54.23,86.63,0.002689256642041149,3.169560370906292,1.466100478793716,6.852267692515462,0.0033612995289391268
SKCM,101,28,35.67,29.23,0.3990992876652665,2.5634429228146804,0.257022561127729,25.566781335055843,0.42243714061711235
STAD,389,157,43.13,26.4,0.03804500191310205,0.5516120318831066,0.3027822040564609,1.0049330166758086,0.05190933836731444
TGCT,132,4,232.4,inf,0.3344173767333579,3.0722443578330876,0.0012347544925739684,7644.179835751292,0.7784495851832448
THYM,118,8,inf,inf,0.3565032545351222,11.400673517614404,0.10810112574611297,1202.349705039108,0.3058607160646475
THCA,503,16,inf,inf,0.7028659811313864,5.523771368074153,0.27911471018512596,109.31724131099479,0.26181816850456163
UCS,56,35,19.9,31.63,0.09471688742155443,1.5246565715880613,0.19323093450408943,12.030049263346424,0.6890149511867315
UCEC,178,33,103.73,inf,0.23048003808117354,1.1603736927269857,0.16437693723850919,8.191338331235311,0.8814190949672381
UVM,79,22,37.1,inf,0.0035864881033515015,203.4922720776825,9.300148829874802,4452.520658843589,0.0007342136853926433
